Unnamed,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
84,Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,212,Nvidia GeForce MX130,Windows 10,84.37,21045.6
85,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,790,Nvidia GeForce MX130,Windows 10,85.37,71874.72
86,HP,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,214,Nvidia GeForce GTX 940MX,Windows 10,86.37,37242.72
87,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,215,Intel HD Graphics 620,Windows 10,87.37,31914.1872
88,Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,216,Nvidia GeForce GTX 1060,Windows 10,88.37,77202.72
89,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,217,Intel UHD Graphics 620,Windows 10,89.37,87858.72
90,Asus,Gaming,15.6,Full HD 1920x1080,AMD FX 9830P 3GHz,8GB,218,AMD Radeon RX 560,Windows 10,90.37,37242.72
91,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,2GB,219,Nvidia GeForce MX150,Windows 10,91.37,36709.92
92,HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,220,Intel UHD Graphics 620,Windows 10,92.37,63776.16
93,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,221,Nvidia GeForce GTX 1060,Windows 10,93.37,63669.6
94,Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,222,Intel HD Graphics 620,Windows 10,94.37,55890.72
95,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,223,Intel UHD Graphics 620,Windows 10,95.37,45128.16
96,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,224,AMD Radeon R5 M430,Linux,96.37,31962.672
97,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,790,AMD Radeon R5 M430,Linux,97.37,25840.8
98,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6GB,226,Nvidia GeForce 920M,Windows 10,98.37,30742.56
99,HP,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,227,Nvidia GeForce GTX 1050,Windows 10,99.37,60199.84426
100,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,228,AMD Radeon 530,Windows 10,100.37,60199.84426
101,HP,Notebook,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4GB,229,AMD Radeon R2,Windows 10,101.37,60199.84426
102,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,230,AMD Radeon 520,Linux,102.37,60199.84426
103,HP,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,231,AMD Radeon 520,Windows 10,103.37,60199.84426
104,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8GB,232,AMD Radeon 520,Windows 10,104.37,60199.84426
105,HP,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,233,AMD Radeon 520,Windows 10,105.37,60199.84426
106,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,234,AMD Radeon 520,Windows 10,106.37,60199.84426
107,Asus,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,235,Nvidia GeForce 940MX,Windows 10,107.37,60199.84426
108,MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,236,Nvidia GeForce GTX 1050 Ti,Windows 10,108.37,69210.72
109,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,237,Intel HD Graphics 620,Windows 10,109.37,78854.4
110,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,238,Nvidia GeForce MX150,Windows 10,110.37,67239.36
111,Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,8GB,790,Intel Iris Plus Graphics 640,Windows 10,111.37,73473.12
112,Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,240,Intel HD Graphics 620,Windows 10,112.37,74538.72
113,HP,Notebook,14,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,4GB,241,Intel UHD Graphics 620,Windows 10,113.37,38468.16
114,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,242,Intel UHD Graphics 620,Windows 10,114.37,86793.12
652,Dell,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,243,Intel UHD Graphics 620,Windows 10,115.37,60199.84426
116,HP,Notebook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,244,Intel UHD Graphics 620,Windows 10,116.37,57755.52
117,Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,245,Nvidia GeForce 940MX,Windows 10,117.37,60223.9824
118,Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,246,Nvidia GeForce 920MX,Windows 10,118.37,30049.92
119,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,247,Nvidia GeForce 940MX,Windows 10,119.37,59567.04
120,Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,6GB,248,Intel HD Graphics 620,Windows 10,120.37,25521.12
121,MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,249,Nvidia GeForce GTX 1070,Windows 10,121.37,119427.12
122,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,250,Nvidia GeForce 940MX,No OS,122.37,33513.12
123,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,251,Nvidia GeForce 930MX ,Windows 10,123.37,67718.88
124,Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,252,AMD Radeon R5,Windows 10,124.37,24029.28
652,Acer,Notebook,15.6,1366x768,Intel Core i5 8250U 1.6GHz,4GB,253,AMD Radeon R5,Windows 10,125.37,60199.84426
126,HP,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,254,Intel UHD Graphics 620,Windows 10,126.37,43263.36
127,Asus,Notebook,14,1366x768,AMD E-Series 6110 1.5GHz,4GB,790,AMD Radeon R2,Windows 10 S,127.37,14811.3072
128,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256,AMD Radeon 530,Windows 10,128.37,74378.88
129,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,257,Intel UHD Graphics 620,Windows 10,129.37,49443.84
130,Dell,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,258,AMD Radeon R7 M445,Windows 10,130.37,34045.3872
131,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,259,AMD Radeon R5 M430,Windows 10,131.37,23922.72
132,Acer,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,260,Intel UHD Graphics 620,Windows 10,132.37,47099.52
133,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,261,Nvidia GeForce MX130,Windows 10,133.37,30476.16
134,HP,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,8GB,262,Intel HD Graphics 620,Windows 10,134.37,31861.44
135,HP,Notebook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,263,Intel UHD Graphics 620,Windows 10,135.37,52640.64
136,Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,264,Intel HD Graphics 500,No OS,136.37,13445.7408
137,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,265,Nvidia GeForce GTX 1050,Windows 10,137.37,49976.64
138,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,266,Nvidia GeForce 920MX,No OS,138.37,26586.72
139,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,267,Intel HD Graphics 620,Windows 10,139.37,37242.72
140,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,268,Nvidia GeForce MX130,Windows 10,140.37,34898.4
141,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,269,AMD Radeon RX 550,Windows 10,141.37,59461.5456
142,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,270,Nvidia GeForce GTX 1050M,No OS,142.37,46300.32
143,Toshiba,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,790,Intel HD Graphics 520,Windows 10,143.37,32074.56
144,HP,Notebook,15.6,1366x768,AMD A6-Series 9220 2.5GHz,4GB,272,AMD Radeon R4 Graphics,Windows 10,144.37,19660.32
145,Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,273,Intel UHD Graphics 620,Windows 10,145.37,58554.72
146,HP,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core M 6Y75 1.2GHz,8GB,274,Intel HD Graphics 515,Windows 10,146.37,107305.92
147,Asus,Notebook,15.6,Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,275,Intel HD Graphics 500,Windows 10,147.37,18328.32
652,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,276,Intel HD Graphics 500,Windows 10,148.37,60199.84426
149,Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,277,Intel HD Graphics 520,Windows 10,149.37,23816.16
150,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,278,Nvidia GeForce GTX 1050,Windows 10,150.37,66560.5728
151,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,279,Nvidia GeForce GTX 1050,Windows 10,151.37,47898.72
152,Lenovo,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,280,Intel HD Graphics 620,Windows 10,152.37,26533.44
153,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,281,Nvidia GeForce GTX 1060,Windows 10,153.37,100699.2
154,HP,Ultrabook,14,Full HD 1920x1080,Intel Core i5 7500U 2.7GHz,4GB,282,Intel HD Graphics 620,Windows 10,154.37,57648.96
155,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,6GB,283,AMD Radeon 520,Windows 10,155.37,32980.32
156,Lenovo,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,284,Intel HD Graphics 620,Windows 10,156.37,33513.12
157,Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,285,Intel HD Graphics 620,Windows 10,157.37,70063.2
158,Dell,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,286,Intel UHD Graphics 620,Windows 10,158.37,55890.72
159,Toshiba,Notebook,15.6,1366x768,Intel Core i3 6006U 2.2GHz,4GB,790,Intel HD Graphics 520,Windows 10,159.37,23816.16
160,Asus,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,790,AMD Radeon R5 M420,Windows 10,160.37,60199.84426
161,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,790,Nvidia GeForce MX150,Windows 10,161.37,60199.84426
162,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,290,AMD Radeon 520,Windows 10,162.37,60199.84426
163,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,291,Nvidia GeForce GTX 1050 Ti,Windows 10,163.37,60199.84426
164,Acer,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,292,Nvidia GeForce GTX 1050 Ti,Windows 10,164.37,60199.84426
165,MSI,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,293,Nvidia GeForce GTX 1050 Ti,Windows 10,165.37,60199.84426
166,Acer,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,294,Nvidia GeForce GTX 1050 Ti,Windows 10,166.37,19367.8128
167,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,295,Nvidia GeForce GTX 1050 Ti,Windows 10,167.37,56502.9072
168,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,296,Nvidia GeForce GTX 1050 Ti,Windows 10,168.37,45501.12
169,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,297,Intel UHD Graphics 620,Windows 10,169.37,40173.12
170,Huawei,Ultrabook,13,IPS Panel Full HD 2160x1440,Intel Core i5 7200U 2.5GHz,8GB,298,Intel HD Graphics 620,Windows 10,170.37,71874.72
171,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,299,AMD Radeon 520,Windows 10,171.37,37242.72
